 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-09 20:00:00.000 068       768.00    262.00   -505.00   -120.00
1989-03-09 21:00:00.000 068       740.00    239.00   -500.00   -129.00
1989-03-09 22:00:00.000 068       788.00    362.00   -424.00    -31.00
1989-03-09 23:00:00.000 068       679.00    281.00   -397.00    -57.00
1989-03-10 00:00:00.000 069       347.00    119.00   -228.00    -53.00
1989-03-10 01:00:00.000 069       313.00    123.00   -189.00    -32.00
1989-03-10 02:00:00.000 069       262.00    126.00   -136.00     -4.00
1989-03-10 03:00:00.000 069       500.00    179.00   -320.00    -69.00
1989-03-10 04:00:00.000 069       481.00    205.00   -274.00    -34.00
1989-03-10 05:00:00.000 069       337.00    178.00   -157.00     10.00
1989-03-10 06:00:00.000 069       458.00    221.00   -236.00     -7.00
1989-03-10 07:00:00.000 069       344.00    203.00   -140.00     31.00
1989-03-10 08:00:00.000 069       346.00    195.00   -149.00     23.00
1989-03-10 09:00:00.000 069       225.00    126.00    -99.00     13.00
1989-03-10 10:00:00.000 069       209.00    140.00    -68.00     35.00
1989-03-10 11:00:00.000 069       156.00    117.00    -39.00     38.00
1989-03-10 12:00:00.000 069       100.00     78.00    -22.00     27.00
1989-03-10 13:00:00.000 069       110.00     72.00    -38.00     17.00
1989-03-10 14:00:00.000 069       115.00     56.00    -58.00      0.00
1989-03-10 15:00:00.000 069       164.00     97.00    -66.00     15.00
1989-03-10 16:00:00.000 069       501.00    197.00   -302.00    -52.00
1989-03-10 17:00:00.000 069       630.00    215.00   -414.00    -98.00
1989-03-10 18:00:00.000 069       326.00    100.00   -225.00    -62.00
1989-03-10 19:00:00.000 069       194.00     99.00    -95.00      1.00
1989-03-10 20:00:00.000 069       202.00    119.00    -82.00     18.00
1989-03-10 21:00:00.000 069       271.00    159.00   -112.00     22.00
1989-03-10 22:00:00.000 069       289.00    109.00   -180.00    -35.00
1989-03-10 23:00:00.000 069       195.00    119.00    -76.00     20.00
1989-03-11 00:00:00.000 070       278.00    142.00   -136.00      2.00
1989-03-11 01:00:00.000 070       199.00    132.00    -65.00     33.00
1989-03-11 02:00:00.000 070       181.00    118.00    -62.00     27.00
1989-03-11 03:00:00.000 070       240.00    134.00   -104.00     14.00
1989-03-11 04:00:00.000 070       372.00    163.00   -209.00    -22.00
