 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-13 15:00:00.000 044       -56.00
1958-02-13 16:00:00.000 044       -64.00
1958-02-13 17:00:00.000 044       -70.00
1958-02-13 18:00:00.000 044       -61.00
1958-02-13 19:00:00.000 044       -54.00
1958-02-13 20:00:00.000 044       -52.00
1958-02-13 21:00:00.000 044       -55.00
1958-02-13 22:00:00.000 044       -59.00
1958-02-13 23:00:00.000 044       -64.00
1958-02-14 00:00:00.000 045       -61.00
1958-02-14 01:00:00.000 045       -62.00
1958-02-14 02:00:00.000 045       -67.00
1958-02-14 03:00:00.000 045       -65.00
1958-02-14 04:00:00.000 045       -58.00
1958-02-14 05:00:00.000 045       -56.00
1958-02-14 06:00:00.000 045       -60.00
1958-02-14 07:00:00.000 045       -59.00
1958-02-14 08:00:00.000 045       -55.00
1958-02-14 09:00:00.000 045       -54.00
1958-02-14 10:00:00.000 045       -52.00
1958-02-14 11:00:00.000 045       -46.00
1958-02-14 12:00:00.000 045       -40.00
1958-02-14 13:00:00.000 045       -43.00
1958-02-14 14:00:00.000 045       -42.00
1958-02-14 15:00:00.000 045       -40.00
1958-02-14 16:00:00.000 045       -45.00
1958-02-14 17:00:00.000 045       -53.00
1958-02-14 18:00:00.000 045       -55.00
1958-02-14 19:00:00.000 045       -45.00
1958-02-14 20:00:00.000 045       -43.00
1958-02-14 21:00:00.000 045       -44.00
1958-02-14 22:00:00.000 045       -39.00
1958-02-14 23:00:00.000 045       -37.00
1958-02-15 00:00:00.000 046       -36.00
1958-02-15 01:00:00.000 046       -35.00
1958-02-15 02:00:00.000 046       -30.00
1958-02-15 03:00:00.000 046       -29.00
1958-02-15 04:00:00.000 046       -28.00
1958-02-15 05:00:00.000 046       -25.00
1958-02-15 06:00:00.000 046       -24.00
1958-02-15 07:00:00.000 046       -22.00
1958-02-15 08:00:00.000 046       -22.00
1958-02-15 09:00:00.000 046       -21.00
1958-02-15 10:00:00.000 046       -22.00
1958-02-15 11:00:00.000 046       -20.00
1958-02-15 12:00:00.000 046       -17.00
1958-02-15 13:00:00.000 046       -15.00
1958-02-15 14:00:00.000 046        -9.00
1958-02-15 15:00:00.000 046       -13.00
1958-02-15 16:00:00.000 046        -6.00
1958-02-15 17:00:00.000 046         1.00
1958-02-15 18:00:00.000 046         5.00
1958-02-15 19:00:00.000 046         9.00
1958-02-15 20:00:00.000 046        11.00
1958-02-15 21:00:00.000 046         6.00
1958-02-15 22:00:00.000 046         7.00
1958-02-15 23:00:00.000 046        10.00
1958-02-16 00:00:00.000 047         9.00
1958-02-16 01:00:00.000 047         7.00
1958-02-16 02:00:00.000 047         6.00
1958-02-16 03:00:00.000 047         9.00
1958-02-16 04:00:00.000 047        11.00
1958-02-16 05:00:00.000 047        11.00
1958-02-16 06:00:00.000 047         9.00
1958-02-16 07:00:00.000 047         7.00
1958-02-16 08:00:00.000 047         4.00
1958-02-16 09:00:00.000 047         9.00
1958-02-16 10:00:00.000 047        15.00
1958-02-16 11:00:00.000 047        21.00
1958-02-16 12:00:00.000 047         9.00
1958-02-16 13:00:00.000 047         3.00
1958-02-16 14:00:00.000 047        -6.00
1958-02-16 15:00:00.000 047        -8.00
1958-02-16 16:00:00.000 047         1.00
1958-02-16 17:00:00.000 047        16.00
1958-02-16 18:00:00.000 047        13.00
1958-02-16 19:00:00.000 047        16.00
1958-02-16 20:00:00.000 047         9.00
1958-02-16 21:00:00.000 047         4.00
1958-02-16 22:00:00.000 047        19.00
1958-02-16 23:00:00.000 047        33.00
1958-02-17 00:00:00.000 048        45.00
1958-02-17 01:00:00.000 048        38.00
1958-02-17 02:00:00.000 048        37.00
1958-02-17 03:00:00.000 048        14.00
1958-02-17 04:00:00.000 048        -9.00
1958-02-17 05:00:00.000 048       -12.00
1958-02-17 06:00:00.000 048        -9.00
1958-02-17 07:00:00.000 048       -10.00
1958-02-17 08:00:00.000 048       -20.00
1958-02-17 09:00:00.000 048       -18.00
1958-02-17 10:00:00.000 048       -29.00
1958-02-17 11:00:00.000 048       -33.00
1958-02-17 12:00:00.000 048       -26.00
1958-02-17 13:00:00.000 048       -36.00
1958-02-17 14:00:00.000 048       -44.00
1958-02-17 15:00:00.000 048       -32.00
1958-02-17 16:00:00.000 048       -35.00
