dB_E,dB_N,dB_Z
0.003328,-0.72163,-0.90634
0.023743,-0.60883,-0.74503
0.03054,-0.63013,-0.76039
0.038641,-0.53952,-0.63395
0.056436,-0.45241,-0.50573
0.067381,-0.33372,-0.34917
0.10049,-0.21649,-0.18088
0.11365,-0.25559,-0.22462
0.08423,-0.43382,-0.47544
0.056743,-0.70595,-0.83299
-0.0069714,-0.94144,-1.1613
-0.075181,-1.1626,-1.452
-0.076602,-0.86591,-1.105
-0.046901,-1.0437,-1.2851
-0.062646,-1.0322,-1.2651
-0.07583,-0.92822,-1.1482
-0.019815,-0.55063,-0.6633
0.012972,-0.40472,-0.47139
0.050857,-0.23067,-0.24873
0.069817,-0.15954,-0.16497
0.11184,0.050762,0.091221
0.13369,0.0087925,0.043868
0.091735,-0.27082,-0.29223
0.051095,-0.54935,-0.60738
-0.012897,-0.81024,-0.91708
-0.066281,-0.86285,-0.98689
-0.072652,-0.87979,-0.99277
-0.049537,-0.70556,-0.78484
-0.031796,-0.68614,-0.74462
-0.023663,-0.58292,-0.62863
-0.013408,-0.64728,-0.68191
-0.032342,-0.58233,-0.62034
-0.015016,-0.33174,-0.34952
0.028201,-0.17521,-0.16964
0.044901,-0.12006,-0.11105
0.057872,0.025188,0.036056
0.086121,0.13381,0.15131
0.095538,0.11579,0.13596
0.082467,0.075012,0.086355
0.068182,-0.01044,0.0018221
0.035335,-0.059823,-0.052225
0.031086,-0.046259,-0.036079
0.022773,-0.034128,-0.02876
0.0094656,0.014399,0.0096227
0.0072552,-0.055679,-0.053451
-0.010168,-0.12651,-0.12489
-0.034695,-0.20826,-0.20572
-0.060024,-0.18496,-0.19533
-0.067273,-0.17677,-0.18372
-0.067286,-0.16736,-0.17799
-0.072646,-0.22225,-0.22391
-0.077359,-0.24396,-0.24151
-0.090212,-0.25553,-0.25548
-0.087146,-0.23,-0.22611
-0.098405,-0.25038,-0.24289
-0.08513,0.0043966,-0.033493
-0.042168,0.23502,0.15552
-0.016076,0.32985,0.22885
-0.0026163,0.2378,0.14879
-0.023001,0.13046,0.052184
-0.038959,0.21292,0.10491
-0.018284,0.39831,0.24554
-0.0062867,0.40162,0.25026
0.00056275,0.43235,0.26739
0.0048187,0.45148,0.26615
0.02189,0.65387,0.3999
0.038605,0.75109,0.46099
0.054962,0.80975,0.49012
0.060224,0.82472,0.48442
0.057976,0.87593,0.50285
0.058507,0.91724,0.5167
0.061323,0.94081,0.52088
0.057271,0.95513,0.51761
0.047095,1.0155,0.53603
0.063937,1.1253,0.59142
0.064477,1.1298,0.58023
0.074154,1.1359,0.57104
0.076844,1.1225,0.54554
0.074446,1.1653,0.5581
0.090879,1.194,0.56492
0.089917,1.1219,0.50731
0.095485,1.1206,0.4965
0.091501,1.1171,0.47505
0.092413,1.1302,0.47178
0.090849,1.1182,0.45468
0.081941,1.2024,0.47999
0.089054,1.2309,0.48452
0.081161,1.2136,0.45688
0.065438,1.0912,0.38602
0.05542,1.1045,0.38004
0.035861,1.0903,0.36278
0.039283,1.1098,0.36781
0.026019,1.063,0.33293
0.013477,1.2127,0.385
0.015208,1.2334,0.37897
0.0019198,1.2341,0.37489
-0.019403,1.3444,0.4104
-0.036298,1.4362,0.43473
-0.038558,1.558,0.48008
-0.034257,1.6729,0.50627
-0.034796,1.6529,0.48091
-0.048823,1.7012,0.49109
-0.049211,1.871,0.53539
-0.043641,1.8537,0.50893
-0.038362,1.8406,0.49356
-0.040705,1.7097,0.42056
-0.058644,1.6833,0.39542
-0.075285,1.6778,0.37595
-0.065622,1.7223,0.38785
-0.061572,1.7239,0.38992
-0.066809,1.7208,0.3783
-0.070476,1.6598,0.35097
-0.063591,1.5381,0.30686
-0.082198,1.4818,0.27598
-0.091413,1.4626,0.24937
-0.088228,1.4168,0.24246
-0.080362,1.4274,0.25171
-0.06923,1.4826,0.2747
-0.043018,1.4347,0.26623
