dB_E,dB_N,dB_Z
-0.0098336,0.030306,0.028973
0.0029707,0.048308,0.03596
0.0040492,0.041614,0.030966
-0.0040394,0.028958,0.025187
-0.0039661,0.038766,0.029626
0.0070665,0.06241,0.03685
0.0077466,0.062709,0.035753
0.011851,0.069637,0.037595
0.017251,0.078276,0.039526
0.031136,0.10933,0.049771
0.039198,0.12501,0.054486
0.047446,0.1372,0.056464
0.050595,0.14353,0.057167
0.052217,0.15297,0.059701
0.052835,0.15948,0.060821
0.052439,0.16314,0.060571
0.050553,0.16566,0.060524
0.050774,0.17696,0.063663
0.058328,0.19453,0.066745
0.05865,0.19752,0.067068
0.061069,0.20059,0.06559
0.062923,0.20247,0.063674
0.063936,0.20837,0.064074
0.069078,0.21351,0.062268
0.067376,0.20768,0.059204
0.068605,0.20782,0.055978
0.068501,0.21186,0.055227
0.067542,0.21328,0.054188
0.065568,0.21186,0.052076
0.066713,0.22699,0.05575
0.066541,0.23038,0.054599
0.062113,0.22982,0.053632
0.049973,0.20939,0.047952
0.047587,0.21022,0.046216
0.038944,0.2058,0.045761
0.037954,0.20532,0.043399
0.032348,0.19974,0.042169
0.033967,0.22231,0.046465
0.031656,0.22542,0.044979
0.023954,0.22077,0.044363
0.018872,0.23525,0.048849
0.01244,0.24539,0.050793
0.012685,0.25993,0.052601
0.017395,0.28096,0.053381
0.015508,0.27812,0.049205
0.013128,0.28535,0.050881
0.01983,0.31498,0.053619
0.020328,0.31479,0.050242
0.020621,0.31404,0.047179
0.01395,0.29612,0.03917
0.0071049,0.29113,0.037061
0.0039249,0.29298,0.037526
0.0050407,0.29661,0.035223
0.0070293,0.29674,0.035011
0.0061089,0.29861,0.035261
0.0011906,0.28699,0.031986
-0.0019546,0.26636,0.026728
-0.0081488,0.25766,0.024786
-0.0099294,0.25873,0.023273
-0.013182,0.24511,0.020544
-0.012185,0.24432,0.019166
-0.0092853,0.25095,0.018018
-0.0072829,0.23742,0.0096241
-0.0069428,0.24032,0.010865
0.020282,0.31591,0.0096821
0.041735,0.34599,-0.0043593
0.062781,0.3647,-0.021161
0.070692,0.3666,-0.037179
0.079828,0.38649,-0.044323
0.079089,0.37228,-0.05684
0.076302,0.3599,-0.067291
0.073135,0.35643,-0.065283
0.075161,0.35955,-0.061611
0.072217,0.35976,-0.05981
0.066941,0.35444,-0.054542
0.060022,0.32701,-0.052306
0.048925,0.2799,-0.051199
0.036729,0.27775,-0.043759
0.02838,0.25714,-0.043875
0.02173,0.24999,-0.038386
0.0095268,0.24635,-0.031199
0.00032516,0.25086,-0.030626
-0.014402,0.23841,-0.030259
-0.020716,0.22946,-0.023962
-0.031038,0.2147,-0.024872
-0.031678,0.21009,-0.025669
-0.037573,0.20827,-0.02535
-0.035665,0.19036,-0.030704
-0.040046,0.18429,-0.035505
-0.048997,0.19249,-0.04936
-0.052233,0.19037,-0.029491
-0.048898,0.18723,-0.026891
-0.045862,0.19293,-0.038393
-0.04195,0.19012,-0.049576
-0.072377,0.24187,-0.09701
-0.065197,0.18981,-0.05355
-0.057231,0.18315,-0.045579
-0.04471,0.16343,-0.048677
-0.048497,0.13989,-0.046866
-0.059475,0.1458,-0.052495
-0.06076,0.13754,-0.051235
-0.04755,0.1447,-0.057908
-0.044647,0.14486,-0.054931
-0.045659,0.14378,-0.053752
-0.032792,0.13571,-0.051792
-0.033546,0.12443,-0.054115
-0.0457,0.13873,-0.060284
-0.03605,0.13833,-0.053236
-0.033447,0.15134,-0.059509
-0.030109,0.14006,-0.054198
-0.032002,0.15691,-0.059993
-0.028957,0.1671,-0.064701
-0.024229,0.16426,-0.064603
-0.018075,0.15419,-0.061403
-0.01006,0.15375,-0.064122
-0.01209,0.15339,-0.067334
-0.0080823,0.15243,-0.073878
0.0013328,0.135,-0.076726
0.0025844,0.11872,-0.078836
0.0053071,0.10961,-0.078081
0.00070693,0.09702,-0.073639
-0.0042303,0.11354,-0.070473
0.0052043,0.12982,-0.066401
0.0093795,0.1424,-0.072771
0.01702,0.14904,-0.075773
0.022697,0.13957,-0.079018
0.018636,0.16005,-0.081313
0.02761,0.15042,-0.085871
0.037441,0.14846,-0.087161
0.043056,0.14509,-0.08267
0.043593,0.1637,-0.085972
0.045328,0.15852,-0.08486
0.047088,0.16566,-0.090573
0.05034,0.18597,-0.094495
0.048711,0.19657,-0.091539
0.046481,0.20275,-0.088866
0.054389,0.19932,-0.089816
0.047852,0.19936,-0.090787
0.036007,0.22537,-0.11105
0.034272,0.2359,-0.10932
0.032564,0.25322,-0.11938
0.034276,0.243,-0.12099
0.030277,0.24156,-0.11585
0.029468,0.25172,-0.11514
0.0329,0.26044,-0.12109
0.041135,0.26358,-0.12099
0.036951,0.28182,-0.12813
0.039403,0.28151,-0.12525
0.028843,0.29465,-0.12478
0.036782,0.28491,-0.1201
0.033114,0.28575,-0.12284
0.036529,0.2804,-0.11552
0.02753,0.30382,-0.12778
0.033031,0.3029,-0.13068
0.027081,0.31478,-0.13806
0.027877,0.29582,-0.13009
0.02455,0.29624,-0.13006
0.0084637,0.31638,-0.1395
0.0010895,0.32528,-0.14042
0.0017931,0.32039,-0.12941
0.0064988,0.29748,-0.11325
0.012631,0.28565,-0.11043
0.0027422,0.29267,-0.1193
0.0024002,0.29912,-0.13235
0.0077189,0.29388,-0.14014
0.013844,0.28621,-0.14427
0.013569,0.28091,-0.14802
0.023554,0.25519,-0.14522
0.024188,0.27517,-0.15166
0.028821,0.28947,-0.15111
0.0266,0.28766,-0.14631
0.02142,0.27363,-0.13977
0.024368,0.2628,-0.14562
0.019086,0.27986,-0.16558
0.0245,0.26624,-0.15984
0.037729,0.27354,-0.15607
0.055178,0.27587,-0.14557
0.055991,0.29497,-0.15841
0.064315,0.29001,-0.16159
0.072075,0.28246,-0.16146
0.079248,0.28344,-0.15514
0.093305,0.27878,-0.15112
0.10059,0.28111,-0.15236
0.10242,0.29237,-0.15785
0.10172,0.29521,-0.16002
0.096398,0.30802,-0.16251
0.10014,0.31847,-0.16567
0.097593,0.33045,-0.16614
0.095774,0.34584,-0.17184
0.099784,0.34478,-0.17397
0.098828,0.33966,-0.17015
0.092604,0.35027,-0.17518
0.091291,0.34553,-0.17146
0.083201,0.36296,-0.17535
0.080703,0.37017,-0.18297
0.090289,0.37709,-0.17733
0.090676,0.38593,-0.18189
0.092837,0.38236,-0.17951
0.092918,0.37986,-0.17923
0.08888,0.3875,-0.18681
0.084375,0.39542,-0.18806
0.07714,0.40458,-0.1893
0.090187,0.39052,-0.18807
0.08752,0.38264,-0.18389
0.081947,0.37984,-0.17938
0.071531,0.3866,-0.18141
0.071435,0.39323,-0.18527
0.074589,0.38642,-0.18251
0.064324,0.39365,-0.17911
0.061493,0.3897,-0.17636
0.058758,0.38857,-0.17709
0.053133,0.38867,-0.17854
0.046095,0.39519,-0.17817
0.034285,0.39567,-0.18057
0.033616,0.39512,-0.17954
0.032344,0.39224,-0.17362
0.026913,0.39342,-0.17159
0.019545,0.40408,-0.17816
0.016087,0.41007,-0.17865
0.0096746,0.40826,-0.18138
0.017581,0.39528,-0.17648
0.011179,0.39416,-0.17422
0.0046282,0.39689,-0.17352
0.0057829,0.39639,-0.17712
0.0039009,0.39181,-0.17373
-0.0027389,0.3863,-0.17732
0.0025925,0.38282,-0.17723
-1.4266e-05,0.38536,-0.17621
-0.0026722,0.39055,-0.185
-0.013781,0.40841,-0.18777
-0.024105,0.41095,-0.18581
-0.026857,0.41468,-0.19232
-0.040236,0.43505,-0.198
-0.045722,0.45032,-0.20436
-0.054094,0.46295,-0.20979
-0.055835,0.46058,-0.21571
-0.04237,0.45251,-0.2189
-0.042283,0.45865,-0.22157
